x,y,z
88604.0,466467.0,0.0
235014.0,572383.0,0.300000011920929
46461.0,361499.0,0.0
182824.0,325194.0,0.100000001490116
235970.0,473880.0,0.200000002980232
245840.0,466200.0,0.300000011920929
266040.0,476020.0,0.0
249560.0,477520.0,0.300000011920929
210603.0,441421.0,0.300000011920929
221540.0,465450.0,0.400000005960464
241846.0,436961.0,0.600000023841858
224291.0,504895.0,0.400000005960464
239310.0,510860.0,0.400000005960464
257150.0,524150.0,0.100000001490116
251493.0,538739.0,0.100000001490116
253583.0,519124.0,0.100000001490116
200225.0,355290.0,0.300000011920929
191246.0,318627.0,0.300000011920929
177314.0,320266.0,0.0
198505.0,308661.0,0.100000001490116
185950.0,308371.0,0.0
201510.0,321755.0,0.5
229125.0,498025.0,0.5
254415.0,472750.0,0.0
188947.0,337109.0,0.400000005960464
186546.0,326311.0,0.300000011920929
180697.0,331691.0,0.200000002980232
171980.0,559690.0,0.699999988079071
203667.0,582248.0,1.33000004291534
200450.0,557520.0,1.5900000333786
159619.0,576229.0,0.509999990463257
223533.0,554903.0,1.17999994754791
192867.0,545198.0,0.970000028610229
114358.0,547781.0,0.5
112648.0,479183.0,0.0
127642.0,518017.0,0.200000002980232
101523.0,501543.0,0.100000001490116
141003.0,456772.0,0.0
154710.0,543902.0,0.100000001490116
164903.0,495700.0,0.100000001490116
180316.0,581059.0,1.20000004768372
188503.0,523619.0,0.300000011920929
188985.0,453160.0,0.200000002980232
214772.0,494198.0,0.300000011920929
231249.0,527808.0,0.5
241546.0,453797.0,0.5
258220.0,476370.0,0.0
30760.0,385969.0,0.0
51797.0,394769.0,0.0
66557.0,444557.0,0.0
90548.0,440481.0,0.100000001490116
123783.0,442017.0,0.0
123505.0,397521.0,0.0
138634.0,430822.0,0.0
176615.0,406739.0,0.100000001490116
181488.0,356705.0,0.200000002980232
211400.0,390321.0,0.400000005960464
272749.0,580578.0,0.0
267908.0,537447.0,0.0
270711.0,554762.0,0.0
271572.0,575349.0,0.0
263398.0,576481.0,0.0
260248.0,559484.0,0.0
271841.0,582455.0,0.0
256063.0,572970.0,0.0
228878.0,487516.0,0.600000023841858
260089.0,548925.0,0.0
240222.0,556426.0,0.200000002980232
249707.0,548397.0,0.0
208789.0,602743.0,1.20000004768372
157018.0,384446.0,0.0
